supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence
Brakes,5001167,"A 5001167, A5001167",Lenor Professional Sea Breeze Fabric Softener Liquid 4L,2 x 4ltr,L,21.83,6,2026-08-10,0.90
Brakes,5001253,"A 5001253, A5001253",PerfectTed Matcha Powder,1 x 250g,kg,39.26,7,2026-08-10,0.90
Brakes,5001984,C 5001984,British Rocket,1 x 150g,kg,2.44,2,2026-04-13,0.90
Brakes,5002322,A5002322,Sysco Classic Extra Virgin Olive Oil,1 x 2ltr,L,8.95,2,2026-03-27,0.90
Brakes,5008075,"A 5008075, A5008075",Kettle Mature Cheddar & Red Onion Crisps,18 x 40g,kg,7.99,6,2026-07-21,0.90
Brakes,5019190,A 5019190,Monin Blueberry Syrup 70cl,1 x 70cl,L,8.53,2,2026-04-06,0.90
Brakes,5021212,A 5021212,Brakes 2Ply 32cm White Napkin,3 x 200,,8.49,5,2026-05-11,0.90
Brakes,5024287,C5024287,Strawberries,1 x 400g,kg,3.61,2,2026-09-09,0.90
Brakes,5024961,,FunkinPro White Peach Puree,1x1kg,kg,8.89,2,2026-03-09,0.90
Brakes,5025686,"A 5025686, A5025686",Sysco Essentials Laundry Detergent Non Bio,2 x 5ltr,L,20.44,7,2026-09-07,0.90
Brakes,5025705,"A 5025705, A5025705",Sysco Essentials Washing Up Liquid,2 x 5ltr,L,9.29,8,2026-09-09,0.90
Brakes,5025709,"A 5025709, A5025709",Funkin Cherry Puree,1 x 1kg,kg,9.49,5,2026-07-21,0.90
Brakes,5026322,F5026322,Avogrande Guacamole,1 x 1kg,kg,5.45,2,2026-04-23,0.93
Brakes,5028744,C5028744,Blueberries,1 x 1kg,kg,13.62,2,2026-09-09,0.90
Brakes,5031365,"A 5031365, A5031365",Kettle Sweet Chilli & Sour Cream,18 x 40g,kg,9.65,4,2026-09-02,0.90
Brakes,509,"A 509, A509",Cadbury Original Drinking Hot Chocolate Large Tub,1 x 2kg,kg,15.67,15,2026-08-10,0.80
Brakes,525273,"C 525273, C525273",Carrots Medium,1x1kg,kg,0.7,17,2026-09-11,0.90
Brakes,5596,"A 5596, A5596",Cadbury Instant Hot Chocolate 2kg,1 x 2kg,kg,19.8,11,2026-04-29,0.90
Brakes,58606,"F 58606, F58606",Bridor Mini Gourmandises,1 x 140,,46.99,5,2026-04-29,0.90
Brakes,591017,,GV Dairy Cheese Soft FFat OC 18421,1x2kg,kg,17.21,3,2025-12-11,0.90
Brakes,591104,,Corona OC 115552,24x330ml,L,28.69,4,2026-03-30,0.90
Brakes,591129,"A 591129, A591129",Shield Rubb Glove Blue Sml OC119318,1x12,,6.09,30,2026-09-11,0.90
Brakes,591923,F 591923,F 591923 - VFC Chicken Tenders 1kg 1 x 1kg,1 x 1kg,kg,10.21,4,2026-04-22,0.90
Brakes,5946,"A 5946, A5946",Sysco Classic Cornflour,1x3.5kg,kg,11.14,34,2026-09-10,0.90
Brakes,71268,"C 71268, C71268",Sysco Classic Grated Mature White Cheddar Cheese,1 x 1kg,kg,6.79,7,2026-08-10,0.90
Brakes,742,"A 742, A742",Coca-Cola Original Taste Can,24 x 330ml,L,15.49,24,2026-09-01,0.90
Brakes,74818,"C 74818, C74818",Pea Shoots,1x100g,kg,2.05,12,2026-09-11,0.90
Brakes,74826,C74826,Brakes Unsalted Butter,1 x 250g,kg,2.23,2,2026-04-06,0.90
Brakes,75350,"C 75350, C75350",Cow's Milk Mozzarella Balls,12 x 125g,kg,15.54,20,2026-09-07,0.80
Brakes,85064,A85064,Sysco Classic Extended Life Rapeseed Oil,1 x 20ltr,L,35.9,4,2026-06-11,0.90
Brakes,86870,"A 86870, A86870",Preema Lemon Essence,1 x 500ml,L,5.03,10,2026-09-07,0.80
Brakes,86874,"A 86874, A86874",Preema Vanilla Essence,1 x 500ml,L,5.45,30,2026-08-10,0.89
Brakes,86876,"A 86876, A86876",Preema Almond Flavouring Essence,1 x 500ml,L,5.1,4,2026-07-13,0.90
Brakes,86882,,Green Colouring,1x500ml,L,,2,2026-03-30,0.90
Brakes,87800,"A 87800, A87800",Bottlegreen Elderflower Cordial,6 x 500ml,L,16.72,14,2026-07-21,0.90
Brakes,8823,"A 8823, A8823",Brakes Pistachio Kernels,1x1kg,kg,30.69,68,2026-09-11,0.80
Brakes,88386,A 88386,Brakes Glaze with Balsamic Vinegar of Modena,1 x 400ml,L,6.5,2,2026-05-11,0.90
Brakes,88431,A88431,KETTLE® Chips Sea Salt & Balsamic Vinegar of Modena,18 x 40g,kg,9.65,2,2026-03-30,0.90
Brakes,88433,"A 88433, A88433",A 88433 - KETTLE® Lightly Salted 18x40g Crisps 18 x 40g,18 x 40g,kg,9.65,10,2026-05-15,0.90
Brakes,88549,A 88549,Citavo Instant Coffee Granules,1x750g,kg,20.01,4,2026-04-20,0.90
Brakes,89216,"A 89216, A89216",Sysco Essentials All Purpose Green Cloth,1 x 50,,3.69,12,2026-09-01,0.90
Brakes,89463,"A 89463, A89463",Twinings Invigorating Pmint,1x20,,2.62,9,2026-09-11,0.90
Brakes,89465,,Twinings Pure Green Tea,1x20,,2.58,2,2026-03-16,0.95
Brakes,89657,A 89657,The Juice Apple Juice,27 x 200ml,L,9.99,2,2026-05-11,0.90
Brakes,89917,"A 89917, A89917",Paclan 100 White Pedal Bin Liners,1 x 100,,1.67,13,2026-06-11,0.90
Brakes,89987,"A 89987, A89987",Jacob's Crackers Biscuits For Cheese Tub,1 x 800g,kg,9.93,13,2026-09-01,0.90
Brakes,A 114951,A114951,Sysco Classic Plain Flour,6 x 1.5kg,kg,10.98,2,2026-07-21,0.90
Brakes,A 130994,,Macphie O.T.T Salted Caramel Dessert Topping,1 x 500g,kg,3.61,3,2026-09-07,0.80
Brakes,A 146274,A146274,Baylis & Harding Jasmine & Apple Blossom Anti-Bacterial Hand Wash 500ml,3 x 500ml,L,4.4,4,2026-08-12,0.90
Brakes,A 151256,A151256,DaVinci Cloudy Lemonade Base Syrup,1 x 1ltr,L,7.48,2,2026-08-10,0.90
Brakes,A 5007068,,MONIN Premium Vanilla Frappe Mix,1 x 1.36kg,kg,21.83,2,2026-08-10,0.90
Brakes,A 5007075,,MONIN Premium Chai Tea concentrate,1 x 1ltr,L,8.53,3,2026-08-10,0.90
Brakes,A 5025588,,Sysco Essentials Floor Cleaner,2 x 5ltr,L,10.7,2,2026-08-12,0.90
Brakes,A 5030322,A5030322,Funkin Raspberry Puree,1 x 1kg,kg,14.69,3,2026-07-21,0.90
Brakes,A 5031364,A5031364,Kettle Sea Salt & Balsamic Vinegar,18 x 40g,kg,9.79,3,2026-09-07,0.90
Brakes,C 123028,C123028,Arla Long Life UHT Skimmed Milk,12 x 1ltr,L,16.02,2,2026-09-01,0.90
Culpitt,02937,,EDIBLE-RENSHAW-PROF SP-TIGER ORANGE,250g,kg,24.19,17,2026-09-08,0.90
Culpitt,02951,,EDIBLE-RENSHAW-PROF SP-DARK BROWN,250g,kg,23.57,10,2026-09-02,0.90
Culpitt,16J-STR08,,"CARD-IND S/W-RD-P.E COATED-8""","8""",,10.54,3,2026-09-04,0.90
Culpitt,16J-STR10,,"CARD-IND S/W-RD-P.E COATED-10""","10""",,8.84,22,2026-09-14,0.90
Culpitt,16J-STRO8,,"CARD-IND S/W-RD-P.E COATED-8""","8""",,9.37,9,2026-09-14,0.95
Culpitt,19P-GRR06,,NON EDIBLE-G/PROOF PAPER-PLAIN-RD,"6""",,5.48,6,2026-09-04,0.90
Culpitt,19P-GRR08,,NON EDIBLE-G/PROOF PAPER-PLAIN-RD,"8""",,7.89,4,2026-09-04,0.95
Culpitt,21M-MBBK10,,SUGAR PASTE-M&B-BLACK,4 x 2.5kg,kg,35.67,19,2026-09-14,0.90
Culpitt,21M-TFPB10,,SUGAR PASTE-M&B-PASTEL BLUE,4 x 2.5kg,kg,35.67,18,2026-09-14,0.90
Culpitt,21M-TFPP10,,SUGAR PASTE-M&B-PASTEL PINK,4 x 2.5kg,kg,35.67,26,2026-09-14,0.90
Culpitt,21M-TFWH10,,SUGAR PASTE-M&B-WHITE,4 x 2.5kg,kg,33.26,35,2026-09-14,0.90
Culpitt,ONC,,OVERNIGHT CHARGE,EACH,,,23,2026-09-08,0.90
JMPosner,EXPDELSTANDARD,,Courier Delivery 1-2 Working Days upto 59kg,,kg,7.95,23,2026-07-07,0.90
JMPosner,J13300113,,JMP Dark Cookie Crumb,1KG,kg,6.48,2,2025-10-22,0.95
JMPosner,SKU00081,,JMP Chocolate Flavour Buttons Milk,12kg,kg,85.56,24,2026-09-12,0.90
JMPosner,SKU00082,,JMP Chocolate Flavour Buttons White,12KG,kg,87.42,10,2026-09-12,0.90
JMPosner,SKU00083,,JMP Chocolate Flavour Buttons Dark,12KG,kg,106.95,4,2026-04-19,0.95
JMPosner,SKU00594,,JMP Luxury White Chocolate 33% (Rainforest Alliance Cocoa MB),10KG,kg,116.25,3,2026-02-05,0.95
JMPosner,SKU00595,,Luxury 10KG Milk Chocolate Case 10Kg,10Kg,kg,88.35,9,2026-05-05,0.90
JMPosner,SKU00596,,JMP Luxury Dark Chocolate 62%,10kg,kg,79,19,2026-09-12,0.90
LWC Drinks,25900122,,ORCHARD PIG REVELLER,12X500ML,L,26.66,9,2026-08-12,0.93
LWC Drinks,26049012,,WHITE CLAW SELTZ BCHERRY,12X330,,19.99,3,2026-08-12,0.95
LWC Drinks,26049013,,WHITE CLAW SELTZ RASPB,12X330ML,L,19.99,2,2026-08-24,0.95
LWC Drinks,26120026,,CORONA CERO,6X4X330ML,L,26.84,2,2026-05-27,0.95
LWC Drinks,26633328,,Beavertown Gamma Ray,12X330ML,L,23.51,14,2026-09-09,0.90
LWC Drinks,27881022,,FEVERTREE GINGER BEER,24X200ML,L,17.17,22,2026-09-09,0.90
LWC Drinks,28062440,,KOPPARBERG NON ALC SL,8X500ML,L,14.99,4,2026-09-09,0.93
LWC Drinks,33010047,,BACARDI RUM,70CL,L,16.9,5,2026-08-24,0.95
LWC Drinks,33013147,,BACARDI GOLD ORO 70CL,70CL,L,18.93,2,2026-05-31,0.95
LWC Drinks,33070047,,CAPTAIN MORGAN SPICED,70CL,L,14.14,2,2026-05-27,0.95
LWC Drinks,36250554,,MONIN GRENADINE,70CL,L,5.59,2,2026-09-09,0.93
LWC Drinks,36251361,,MONIN RASPBERRY PUREE,1L,L,18.44,3,2026-09-12,0.95
LWC Drinks,36251375,,MONIN GRENADINE,1L,L,10.59,2,2026-05-20,0.95
LWC Drinks,36251847,,MONIN STRAWBERRY PUREE,1L,L,16.03,3,2026-09-12,0.95
LWC Drinks,36411547,,LUXARDO MARASCHINO CHERRIES 400G,,kg,7.4,2,2026-06-10,0.95
LWC Drinks,42400098,,FAT BARREL SAUVIGNON BLANC,75CL,L,8.32,17,2026-08-12,0.90
LWC Drinks,46183139,,CRAMELE RECAS PINOT NOIR,75CL,L,8.57,2,2026-08-12,0.95
LWC Drinks,46891360,,SANGIOVESE PRIMISOLI,75CL,L,7.92,9,2026-06-24,0.90
LWC Drinks,47905005,,SEA CHANGE PROVENCE ROSE,75CL,L,13.32,9,2026-08-12,0.94
LWC Drinks,48040247,,SODA WATER NRB APEROL,70CL,L,12.12,4,2026-07-22,0.95
LWC Drinks,48120047,,SODA WATER NRB PIMMS NO.1,70CL,L,13.31,5,2026-09-09,0.93
LWC Drinks,49224858,,ALMA DE CHILE MERLOT RES,75CL,L,7.99,3,2026-08-31,0.93
LWC Drinks,50006285,,BRISTOL SYRUP STRAWBERRY 75CL,,L,8.1,2,2026-06-15,0.95
LWC Drinks,51230061,,LOND ESS PEACH JASMINE,24X200ML,L,18.99,2,2026-08-20,0.95
LWC Drinks,51301149,,BOTTLE GREEN ELDERF CORDIAL,50CL,L,3.99,4,2026-07-15,0.95
LWC Drinks,51600023,,R Whites Lemonade,24 x 330ml Can,L,12.12,4,2026-07-22,0.90
LWC Drinks,55541122,,FEVERTREE TONIC WATER,24X200ML,L,18.56,2,2026-06-24,0.95
LWC Drinks,59131347,,Sunpride Cranberry Juice,12X1L,L,12.97,2,2026-07-06,0.95
LWC Drinks,59290049,,EAGER PINEAPPLE,8X1L,L,20.99,2,2026-07-06,0.95
LWC Drinks,59737448,,FUNKIN PEACH,5X1KG,kg,54.82,2,2026-07-14,0.95
LWC Drinks,59737948,,FUNKIN PURE LIME,5X1KG,kg,56.77,2,2026-07-06,0.95
LWC Drinks,61002373,,Famiglia Botter Prosecco *FREE* *FAMIGLIA BOTTER PROSECCO*,75cl,L,,12,2026-08-25,0.90
LWC Drinks,62000109,,LOND ESS ROAST PINEAPPL *PROMO*,,,12.99,3,2026-06-03,0.95
Makro,077549,,Strathmore Still Glass,24 330ml,L,10.89,11,2026-09-09,0.90
Makro,083358,,Kopparberg Mixed Fruit Cider,15 500ml,L,25.49,7,2026-09-09,0.90
Makro,092709,,Fever Tree Prem Soda Water,24 200ml,L,16.85,10,2026-07-15,0.90
Makro,092712,,Fever Tree Light Tonic,24 200ml,L,16.85,4,2026-07-22,0.90
Makro,092715,,Fever Tree Prem Indian Tonic,24 200ml,L,17.69,3,2026-07-22,0.93
Makro,101250,,Sunpride Pure Pineapple Jce,12 11tr,,19.99,2,2026-04-22,0.93
Makro,108081,,Kopparberg Strbry&Lime Cider,15 500ml,L,25.49,12,2026-09-09,0.90
Makro,117453,,Funkin Strawberry Puree,5 1kg,kg,39.39,3,2026-07-29,0.90
Makro,117533,,Funkin White Peach Puree,5 1kg,kg,39.39,6,2026-06-18,0.93
Makro,117539,,Funkin Raspberry Puree,5 1kg,kg,58.89,3,2026-07-09,0.90
Makro,118657,,Aperol,6 70cl,L,71.94,8,2026-07-22,0.90
Makro,118658,,Aperol,1 70cl,L,13.79,2,2025-11-12,0.90
Makro,135253,,Corona Extra NRB 4.5%,24 330ml,L,23.99,14,2026-07-22,0.90
Makro,146127,,J20 Apple & Raspberry,12 275ml,L,11.29,10,2026-08-20,0.90
Makro,148127,,Lime Puree Funkin,5 1kg,kg,39.39,6,2026-06-18,0.93
Makro,185553,,Disaronno,1 70cl,L,17.69,2,2026-01-14,0.90
Makro,189805,,Ice Valley Still Sprng Water,24 500ml,L,3.29,20,2026-08-20,0.90
Makro,191244,,Bacardi Carta Blanca,1 1.5ltr,L,32.99,2,2026-08-12,0.90
Makro,202559,,J20 Orange & Passionfruit,12 275ml,L,11.29,12,2026-08-20,0.90
Makro,232387,,Birra Moretti NRB UK,24 330ml,L,21.49,20,2026-08-05,0.90
Makro,235956,,CL Prof Baking Parchment,9 50m,,75.99,4,2025-12-24,0.90
Makro,245965,,Lotus Biscoff Crumb,8 750g,kg,33.49,3,2026-09-09,0.95
Makro,263815,,Nozeco Spumante Alcohol Free,6 75cl,L,16.29,6,2026-08-20,0.90
Makro,268555,,Kahlua Coffee Liqueur,1 70cl,L,13.19,2,2026-01-14,0.95
Makro,278424,,Pimms No 1,6 70cl,L,75.49,3,2026-06-10,0.93
Makro,279322,,Peroni Nastro Azzurro,24 330ml,L,22.49,20,2026-08-05,0.90
Makro,282574,,Coca Cola Can,24 330ml,L,13.29,27,2026-09-09,0.90
Makro,282673,,Diet Coke Can,24 330ml,L,10.79,28,2026-09-09,0.90
Makro,292035,,Bacardi Carta Blanca PM1799,1 70cl,L,11.35,4,2025-12-24,0.90
Makro,294844,,Roquito Hot Honey,5 720g,kg,20.99,2,2026-06-03,0.90
Makro,299225,,CLE 2 Ply Blue Centrefeed,1 6pk,each,7.29,4,2026-08-26,0.90
Makro,305182,,Clrly Vnyl PF Glve Clear Lrg,10 100s,,29.99,2,2026-08-26,0.90
Makro,503500,,503500 Absolut Vodka Blue,6 70cl,L,89.89,3,2026-03-01,0.95
Makro,503510,,Absolut Vodka Blue,1 70cl,L,14.49,4,2026-03-25,0.93
Makro,533927,,R Whites Lemonade,24 330ml,L,9.29,24,2026-09-09,0.90
Makro,536193,,Strathmore Spark Water Glass,24 330ml,L,10.89,5,2026-09-09,0.95
Makro,627850,,Gordons Gin,1 70cl,L,14.35,2,2026-07-22,0.95
Makro,772426,,Baileys Irish Cream,1 70cl,L,11.49,3,2025-12-24,0.90
Makro,968313,,Red Bull,24 250ml,L,24.49,13,2026-09-09,0.90
Makro,FUNKMORC,,FUNKIN MORELLO CHERRY PUREE 1KG,1KG,kg,14.99,2,2026-06-26,0.90
Sysco,A 135429,A135429,OGGS® Aquafaba Plant-Based Egg Alternative,1 x 1ltr,L,5.94,2,2026-01-27,0.90
Sysco,A 150624,A150624,Lion Ranch Dressing,1 x 2.27ltr,L,9.31,2,2026-01-20,0.90
Sysco,A 8823,A8823,Sysco Classic Pistachio Kernels 1kg,1 x 1kg,kg,37,2,2026-01-27,0.90
Sysco,A10678,A 10678,Freshers Fat Reduced Cocoa Powder,1 x 500g,kg,8.15,5,2026-01-27,0.80
Sysco,A119330,,Shield Blue Rubber Gloves Large,1 x 12,,7,3,2026-01-27,0.90
Sysco,A135336,,Sysco Classic Sour Cream 890g,1 x 890g,kg,4.19,2,2026-01-20,0.90
Sysco,A135584,A 135584,Sysco Classic 2 Ply Blue Laminated Centrefeed Kitchen Wipes,1 x 6,,8.68,5,2026-01-27,0.80
Sysco,A136373,A 136373,Brakes Essentials Washing Up Liquid,2 x 5ltr,L,8,3,2026-01-20,0.90
Sysco,A136380,,Brakes Essentials Antibacterial Hand Wash,2 x 5ltr,L,9.49,2,2026-01-20,0.80
Sysco,A148639,A 148639,MONIN Premium Caramel Syrup 1tr,1 x 1 ltr,L,10.7,3,2026-01-13,0.80
Sysco,A148641,,MONIN Premium Vanilla Syrup 1ltr,1 x 1 ltr,L,8.95,2,2026-01-27,0.80
Sysco,A152273,A 152273,Paclan 80 Heavy Duty All-Purpose Refuse Sacks 110L,1 x 80 Sacks,L,11.05,5,2026-01-27,0.80
Sysco,A21957,A 21957,Wrapmaster 4500 PVC Cling Film Refill Rolls - 45cm x 300m x 3,1 x 3 rolls,,40.1,4,2026-01-27,0.80
Sysco,A28059,,eGreen Wooden Cocktail Sticks 1000 Pack,1 x 1000,each,1.11,2,2026-01-20,0.80
Sysco,A301,A 301,Brakes Caster Sugar,1 x 25kg,kg,26.33,6,2026-01-27,0.80
Sysco,A33581,,Sysco Classic Ground Cinnamon,1 x 450g,kg,5.73,2,2026-01-27,0.80
Sysco,A5596,,Cadbury Instant Hot Chocolate 2kg,1 x 2kg,kg,19.8,2,2026-01-13,0.80
Sysco,A591130,A 591130,Shield Blue Rubber Gloves Medium,1 x 12,,7.09,5,2026-01-27,0.80
Sysco,A591182,A 591182,Soft 30cm Broomhead Yellow,1 x 1,,4.4,5,2026-01-27,0.80
Sysco,A591184,A 591184,Sponge Scourer,1 x 10,,1.69,4,2026-01-27,0.90
Sysco,A70893,A 70893,15 Dozen British Fresh Medium Eggs,1 x 180,,39.25,6,2026-01-27,0.80
Sysco,A84497,A 84497,Brakes Pizza Topping Sauce,1 x 3kg,kg,7.62,4,2026-01-27,0.80
Sysco,A86874,A 86874,Preema Vanilla Essence 500ml,1 x 500ml,L,5.38,3,2026-01-20,0.80
Sysco,A86972,A 86972,House Recipe Classic Sweet Chilli Dipping Sauce,1 x 1ltr,L,2.79,5,2026-01-27,0.80
Sysco,A87722,,Paclan 100 x 150L Extra Heavy Duty Black Compactor Sacks. 483x965x1168mm. Rated 20KG CHSA. Made using 100% Recycled Material (excluding processing aids).,1 x 100 Sacks,L,22.11,3,2026-01-27,0.90
Sysco,A88445,A 88445,"Whisper Ultra Toilet Roll, 3 Ply, 160 Sheets",10 x 4,,29.39,4,2026-01-27,0.80
Sysco,A89917,,Paclan 100 White Pedal Bin Liners,1 x 100,,1.53,2,2026-01-27,0.80
Sysco,C 10230,C10230,Cucumber,1 x 1,,0.79,4,2026-01-27,0.90
Sysco,C 10292,C10292,Medium Oranges,1 x 10,,2.6,4,2026-01-27,0.90
Sysco,C 10478,C10478,Limes,1 x 6,,1.46,4,2026-01-27,0.90
Sysco,C11127,C 11127,Brakes Unsalted Butter,40 x 250g,kg,60.95,5,2026-01-27,0.80
Sysco,C11196,C 11196,Sysco Classic Tomato Salsa,1 x 1kg tub,kg,4.49,5,2026-01-27,0.80
Sysco,C11213,C 11213,Sysco Classic Houmous,1 x 1kg tub,kg,3.9,5,2026-01-27,0.80
Sysco,C113879,C 113879,Herb Bunched Basil,1 x 100g,kg,2.04,5,2026-01-27,0.80
Sysco,C113882,C 113882,Large Mint Bunch,1 x 100g,kg,1.54,5,2026-01-27,0.90
Sysco,C117480,C 117480,Guacamole,1 x 1kg,kg,9.37,4,2026-01-27,0.80
Sysco,C119649,C 119649,Cypressa Bar Mix Olives (Pitted),1 x 1kg,kg,9.37,3,2026-01-20,0.90
Sysco,C123502,C 123502,Lemons,1 x 20,,4.21,3,2026-01-27,0.90
Sysco,C135575,C 135575,Noble Free Range Liquid Egg White,1 x 1kg,kg,3.88,6,2026-01-27,0.80
Sysco,C18502,C 18502,Brakes UHT Aerosol Cream Sweetened,1 x 500g,kg,3.49,5,2026-01-20,0.80
Sysco,C19665,C 19665,Arla Long Life UHT Semi Skimmed Milk 1L,12 x 1ltr,L,12.31,5,2026-01-27,0.80
Sysco,C22053,C 22053,Sysco Classic Shredded Mozzarella Cheese,1 x 2kg,kg,11.07,4,2026-01-27,0.80
Sysco,C450610,C 450610,Strawberries,1 x 400g,kg,4.42,6,2026-01-27,0.80
Sysco,C71268,C 71268,Sysco Classic Grated Mature White Cheddar Cheese,1 x 1kg,kg,6.69,3,2026-01-27,0.90
Sysco,F 58919,F58919,La Boulangerie Part Baked Garlic Oval Flatbreads,3 x 6 x 225g,kg,16.38,3,2026-01-27,0.90
Sysco,F149991,,Sysco Premium Caramel Cake,1 x 14 ptn,,24.77,2,2026-01-27,0.90
Sysco,F150213,F 150213,Cheese Pickers Halloumi Fries,1 x 1kg,kg,22.53,3,2026-01-20,0.80
Sysco,F32783,,Sysco Classic Crispy Chicken Strips,1 x 2kg (approx 80),kg,17.19,2,2026-01-20,0.90
Sysco,F4111,F 4111,Brakes Fruits of the Forest,1 x 1kg,kg,9.45,3,2026-01-27,0.80
Twist Ingredients,1033-1kg,,Pearls High Shine 4mm - Gold,1kg,kg,36.96,4,2026-08-14,0.92
Twist Ingredients,1033-4kg,,Pearls - High Shine - 4mm - Gold - Size: 4kg,4kg,kg,110.23,9,2026-04-27,0.90
Twist Ingredients,1209-4kg,,Pearls - High Shine - 6mm - Gold - Size: 4kg,4kg,kg,101.12,2,2025-12-15,0.90
Twist Ingredients,1271-5kg,,Strands - Matt - Green,5kg,kg,52.28,3,2026-07-12,0.90
Twist Ingredients,1351NE-4kg,,Stars - Shimmer - Rainbow,4kg,kg,93.04,3,2026-07-12,0.90
Twist Ingredients,1562-4kg,,Shapes - Glimmer - Seashells - Mother of Pearl,4kg,kg,93.04,2,2026-08-19,0.90
Twist Ingredients,1643-4kg,,Shapes - Glimmer - Clouds - Pink - Size: 4kg,4kg,kg,101.58,9,2026-04-27,0.90
Twist Ingredients,1701-5kg,,Sprinkletti - Frosty - No E171 - Size: 5kg,5kg,kg,120.27,11,2025-12-23,0.90
Twist Ingredients,1708-5kg,,Sprinkletti - Party - Size: 5kg,5kg,kg,132.42,7,2026-04-26,0.90
Twist Ingredients,1722-5kg,,Sprinkletti - Colours - Turquoise - Size: 5kg,5kg,kg,137.5,11,2026-06-21,0.90
Twist Ingredients,1785-5kg,,Sprinkletti - Party - No E171 - Size: 5kg,5kg,kg,121.48,2,2025-10-16,0.95
Twist Ingredients,1863-12.5kg,,Sugar Crunch - Berry - Size: 12.5kg,12.5kg,kg,193.74,3,2026-04-26,0.90
Twist Ingredients,1863-5kg,,Sugar Crunch - Berry - Size: 5kg,5kg,kg,77.3,11,2026-06-21,0.90
Twist Ingredients,1890-4kg,,Shapes - Glimmer - Clouds - Pink and Mother of Pearl,4kg,kg,94.74,2,2026-07-12,0.90
Twist Ingredients,2013-4kg,,Shapes - Matt - Holly and berries - Size: 4kg,4kg,kg,80.48,8,2025-12-15,0.90
Twist Ingredients,2042-4kg,,Shapes - Matt - Candy Canes - Red and White - Size: 4kg,4kg,kg,86.03,5,2025-11-25,0.90
Twist Ingredients,2051-5kg,,"Strands - Matt - Red, Green and White - Size: 5kg",5kg,kg,62.99,6,2025-12-02,0.90
Twist Ingredients,6087-5kg,,Sugar Crunch - Caramel - Size: 5kg,5kg,kg,73.71,7,2026-01-05,0.90
Twist Ingredients,6162-5kg,,Pearls - Pearls Mix - High Shine - Silver - Size: 5kg,5kg,kg,154.82,4,2025-12-30,0.90
Twist Ingredients,6189-4kg,,Shapes - Glimmer - Leaf - Autumn Mix - Size: 4kg,4kg,kg,93.19,2,2025-10-09,0.90
Twist Ingredients,6268-4kg,,Shapes - Matt - Triangles - Pastel Mix,4kg,kg,78.92,10,2026-07-12,0.90
Twist Ingredients,6345-4kg,,Confetti - Shimmer - Jumbo - Dark Blue - Size: 4kg,4kg,kg,93.19,3,2025-10-16,0.90
Twist Ingredients,6405-4kg,,Confetti - Shimmer - Violet,4kg,kg,93.04,3,2026-07-12,0.90
Twist Ingredients,6462,,Confetti - Glimmer - Blossom,4kg,kg,94.74,2,2026-08-18,0.95
Twist Ingredients,6462-4kg,,Confetti - Glimmer - Blossom,4kg,kg,94.74,3,2026-07-12,0.90
Twist Ingredients,6481-12.5kg,,Pearls - Pearls Mix - Glimmer Mother of Pearl - Size: 12.5kg,12.5kg,kg,268.27,7,2026-06-21,0.90
Twist Ingredients,6481-5kg,,Pearls - Pearls Mix - Glimmer Mother of Pearl - Size: 5kg,5kg,kg,109.42,9,2026-06-05,0.90
Twist Ingredients,6499,,Pearls - High Shine - 2mm - Gold,4kg,kg,240.01,3,2026-09-07,0.90
Twist Ingredients,6499-4kg,,Pearls - High Shine - 2mm - Gold,4kg,kg,240.01,4,2026-07-12,0.90
Twist Ingredients,6503-100g,,Chocolate Beans - Mini - Multicoloured Without Shellac - Size: 100g,100g,kg,4.43,2,2026-05-27,0.95
Twist Ingredients,6503-15kg,,Chocolate Beans - Mini - Multicoloured Without Shellac,15kg,kg,231.2,5,2026-08-19,0.90
Twist Ingredients,6503-1kg,,Chocolate Beans - Mini - Multicoloured Without Shellac - Size: 1kg,1kg,kg,19.53,3,2026-04-27,0.90
Twist Ingredients,6503-5kg,,Chocolate Beans - Mini - Multicoloured Without Shellac,5kg,kg,94.76,16,2026-07-12,0.90
Twist Ingredients,6505-15kg,,Strands - Matt - Rainbow Sprinkles - Size: 15kg,15kg,kg,197.11,9,2026-06-21,0.90
Twist Ingredients,6505-5kg,,Strands - Matt - Rainbow Sprinkles - Size: 5kg,5kg,kg,73.62,4,2026-06-05,0.90
Twist Ingredients,6513-5kg,,Pearls Mix - Glimmer Silver,5kg,kg,111,10,2026-07-12,0.90
Twist Ingredients,6550,,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,4kg,kg,93.04,2,2026-09-03,0.90
Twist Ingredients,6550-4kg,,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,4kg,kg,93.04,9,2026-07-12,0.90
Twist Ingredients,6611-4kg,,Hearts - Matt - Natural and Vegan - Pink - Size: 4kg,4kg,kg,67.71,9,2026-06-21,0.90
Twist Ingredients,6616-4kg,,Confetti - Matt - Natural and Vegan - 3mm - Green - Size: 4kg,4kg,kg,66.01,17,2026-06-21,0.90
Twist Ingredients,6618-4kg,,Confetti - Matt - Natural and Vegan - 3mm - Purple - Size: 4kg,4kg,kg,66.01,8,2026-06-21,0.90
Twist Ingredients,6661-4kg,,Shapes - Shimmer - Leaf - Autumn Mix,4kg,kg,93.04,6,2026-08-19,0.90
