supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Twist Ingredients,2051-5kg,"Strands - Matt - Red, Green and White - Size: 5kg",5kg,6,62.99,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,"Red, Green & White Strands",RED-GREE-WHIT,,Y,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Makro,536193,Strathmore Spark Water Glass,24 330ml,5,10.89,,none,,,,ADD ITEM,Strathmore Spark Water Glass,l
Makro,077549,Strathmore Still Glass,24 330ml,11,10.89,,none,,,,ADD ITEM,Strathmore Still Glass,l
Booker,077549,Strathmore Still Glass,24 330ml,5,10.89,,none,,,,ADD ITEM,Strathmore Still Glass,l
Twist Ingredients,1863-12.5kg,Sugar Crunch - Berry - Size: 12.5kg,12.5kg,3,193.74,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Sugar Crunch Berry,SUGA-CRUN-BERR,,Y,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,1863-5kg,Sugar Crunch - Berry - Size: 5kg,5kg,11,77.3,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Sugar Crunch Berry,SUGA-CRUN-BERR,,Y,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,6087-5kg,Sugar Crunch - Caramel - Size: 5kg,5kg,7,73.71,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Caramel,BAKE-ESSN-CARA,,ADD ITEM,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Culpitt,21M-MBBK10,SUGAR PASTE-M&B-BLACK,4 x 2.5kg,19,35.67,,none,,,,ADD ITEM,SUGAR PASTE-M&B-BLACK,kg
Culpitt,21M-TFPB10,SUGAR PASTE-M&B-PASTEL BLUE,4 x 2.5kg,18,35.67,,none,,,,ADD ITEM,SUGAR PASTE-M&B-PASTEL BLUE,kg
Culpitt,21M-TFPP10,SUGAR PASTE-M&B-PASTEL PINK,4 x 2.5kg,26,35.67,,none,,,,ADD ITEM,SUGAR PASTE-M&B-PASTEL PINK,kg
Culpitt,21M-TFWH10,SUGAR PASTE-M&B-WHITE,4 x 2.5kg,35,33.26,,none,,,,ADD ITEM,SUGAR PASTE-M&B-WHITE,kg
Twist Ingredients,6550-4kg,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,4kg,9,93.04,,none,,,,ADD ITEM,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,kg
Twist Ingredients,6550,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,4kg,2,93.04,,none,,,,ADD ITEM,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,kg
Booker,083677,Sunpride Apple Juice,12 1ltr,5,13.89,,matched,Apple Juice,JUIC-FRUT-APP,,Y,Sunpride Apple Juice,l
Booker,083676,Sunpride Cranberry Juice,12 1ltr,2,11.79,,matched,Cranberry Juice,CRAN-JUIC,,Y,Sunpride Cranberry Juice,l
LWC Drinks,59131347,Sunpride Cranberry Juice,12X1L,2,12.97,,matched,Cranberry Juice,CRAN-JUIC,,Y,Sunpride Cranberry Juice,l
Booker,083674,Sunpride Orange Juice,12 1ltr,5,14.49,,matched,Orange Juice,JUIC-FRUT-ORG,Orange [ORAN] | Oranges [ORAN-2],Y,Sunpride Orange Juice,l
Booker,101250,Sunpride Pure Pineapple Jce,12 1ltr,6,20.29,,none,,,,JUIC-FRUT-PIN,Sunpride Pure Pineapple Jce,l
Makro,101250,Sunpride Pure Pineapple Jce,12 11tr,2,19.99,,none,,,,JUIC-FRUT-PIN,Sunpride Pure Pineapple Jce,each
Brakes,133755,Super Professional Glass and Stainless Steel Cleaner,6 x 750ml,5,6.92,Glass & Stainless Steel Cleaner,client-description,Glass & Stainless Steel Cleaner,GLAS-STEL-CLNR,,Y,Glass & Stainless Steel Cleaner,l
Brakes,133751,Super Professional Green Washing Up Liquid,2 x 5ltr,21,10.45,,matched,Washing Up Liquid,CLEN-WASH-LIQD,,Y,Super Professional Green Washing Up Liquid,l
Brakes,133756,Super Professional Machine Dishwash,2 x 5ltr,4,13,,none,,,,CLEN-DISH-DETG,Super Professional Machine Dishwash,l
Brakes,133757,Super Toilet Cleaner,6x1ltr,4,6.43,,matched,Toilet Cleaner,CLEN-TOIL-CLNR,,Y,Super Toilet Cleaner,l
Brakes,27544,Sysco Classc Grt Mild White Cheddr,1x1kg,36,6.99,Grated Mild White Cheese,client-description,Grated Mild White Cheese,GRAT-MILD-CHEE,,Y,Grated Mild White Cheese,kg
Brakes,22053,Sysco Classc Mozz Shredded Cheese,1x2kg,54,11.07,Cheese (unspecified),client-description,Cheese (unspecified),CHEE-UNSP-ONE,,ADD ITEM,Cheese (unspecified),kg
Sysco,A135584,Sysco Classic 2 Ply Blue Laminated Centrefeed Kitchen Wipes,1 x 6,5,8.68,Blue Centrefeed Rolls,client-description,Blue Centrefeed Rolls,BLUE-CENT-ROLL,,Y,Blue Centrefeed Rolls,each
Brakes,33781,Sysco Classic Baking Powder,1x3.5kg,2,16.79,,matched,Baking Powder,BAKI-POWD,,Y,Sysco Classic Baking Powder,kg
Brakes,149963,"Sysco Classic BBQ Sauce, 2.15L",1 x 2.15ltr,13,6.74,,matched,BBQ,BBQ,,Y,"Sysco Classic BBQ Sauce, 2.15L",l
Brakes,33596,Sysco Classic Bicarbonate Of Soda,1kg,9,4.12,,matched,Bicarbonate of Soda,BICA-SODA,,Y,Sysco Classic Bicarbonate Of Soda,kg
Brakes,152101,Sysco Classic Caramelised Red Onion Chutney,1 x 2kg,13,9.79,,matched,Red Onion Chutney,CARA-ONIO-CHUT,,Y,Sysco Classic Caramelised Red Onion Chutney,kg
Brakes,131051,Sysco Classic Cauliflower Wings,1x1kg,9,9.16,Cauliflower Wings,client-sku,Cauliflower wings,SAVR-CAUL-WING,,Y,Cauliflower Wings,kg
Brakes,126918,Sysco Classic Chilli Jam,1 x 1.25kg,9,9.44,Chilli Jam,client-sku,Chilli Jam,COND-CHIL-JAM,,Y,Chilli Jam,kg
Brakes,5946,Sysco Classic Cornflour,1x3.5kg,34,11.14,Cornflour,client-sku,Cornflour,BAKE-CORN-FLOR,,Y,Cornflour,kg
Sysco,F32783,Sysco Classic Crispy Chicken Strips,1 x 2kg (approx 80),2,17.19,,matched,Chicken Strips,CHIC-STRI,,Y,Sysco Classic Crispy Chicken Strips,kg
