suggested_name,stock_item,category,group_id,sku,supplier,pack_size,sheet
Chambord,CHAMBORD RASPBERRY 70CL,drink,593,36291047,LWC Drinks,,Sheet1
Champagne,CHAMPAGNE CHARLES JOUBERT,drink,594,40101350,LWC Drinks,NV75CL,Sheet1
Champagne,CHAMPAGNE CHARLES JOUBERT 75CL,drink,594,40101350,LWC Drinks,,Sheet1
Champagne,CHAMPAGNE CHARLES JOUBERT NV,drink,594,40101350,LWC Drinks,75CL,Sheet1
Champagne,CHAMPAGNE CHARLES JOUBERT NV75CL,drink,594,40101350,LWC Drinks,,Sheet1
Chase Rhubarb & Apple Gin,CHASE RHU N BRAM APP GIN,drink,596,35130148,LWC Drinks,70CL,Sheet1
Chase Rhubarb & Apple Gin,CHASE RHU N BRAM APP GIN 70CL,drink,596,35130148,LWC Drinks,,Sheet1
Chase Rhubarb & Apple Gin,CHASE RHUBARB AND APPLE GIN 40% 70CL,drink,596,CHASEAPP,Booker,,Sheet1
Chase Rhubarb & Apple Gin,CHASE RHUN BRAM APP GIN 70CL,drink,596,35130148,LWC Drinks,,Sheet1
Chocolate Muffins,CHOC CHUNK MUFFINS,ingredient,604,,Morrisons,,Sheet1
Chocolate Muffins,CHOC MUFFINS,ingredient,604,,Morrisons,,Sheet1
Green Grapes,CO OP GREEN GRAPES*,ingredient,612,,Nisa,500G,Sheet1
Coca-Cola Zero Cans,COCA COLA ZERO 24X330ML CAN,drink,615,58310323,LWC Drinks,24X330ML,Sheet1
Cocktail Cans (variety 1 - check flavour),COCKTAIL CAN,drink,616,742287,Aldi,,Sheet1
Cocktail Cans (variety 2 - check flavour),COCKTAIL CANS,drink,617,742285,Aldi,,Sheet1
Cocobay Cans,COCOBAY CAN,drink,618,741667,Aldi,,Sheet1
Cointreau,COINTREAU 70CL,drink,619,36080047,LWC Drinks,,Sheet1
Coca-Cola Bottles,COKE BOTTLE,drink,620,,Poundland,500ML,Sheet1
Copella Apple Juice,COPELLA APPLE,drink,623,,Sainsburys,300ML,Sheet1
Corona Cero (Alcohol-Free),CORONA CERO,drink,625,26120026,LWC Drinks,6X4X330ML,Sheet1
Corona Cero (Alcohol-Free),CORONA CERO *ONLINE P*,drink,625,62000204,LWC Drinks,,Sheet1
Corona Cero (Alcohol-Free),CORONA CERO 0,drink,625,26120026,LWC Drinks,6X4X330ML,Sheet1
Corona Cero (Alcohol-Free),CORONA CERO 0 6X4X330ML,drink,625,26120026,LWC Drinks,,Sheet1
Corona Extra,CORONA EXTRA,drink,629,26120023,LWC Drinks,24X330ML NRB,Sheet1
Corona Extra,CORONA EXTRA 24X330ML NRB,drink,629,26120023,LWC Drinks,,Sheet1
Corona Extra,CORONA EXTRA NRB,drink,629,26120023,LWC Drinks,24X330ML,Sheet1
Antibacterial Sponge Scourers,CP Antibac Sponge Scourer,cleaning,634,162494,Booker,5pk,Sheet1
Microfibre Cloths (CP - check vs g328/501),CP Micro Fibre Cloths,cleaning,636,162517,makro,1 5pk,Sheet1
Probe Wipes,CP Plus Probe Wipe,cleaning,637,289409,Booker,1 150pk,Sheet1
Crackers,CRACKERS,ingredient,642,,ASDA,,Sheet1
Pinot Noir,CRAMELE RECAS PINOT NOIR,drink,643,46183139,LWC Drinks,75CL,Sheet1
Pinot Noir,CRAMELE RECAS PINOT NOIR,drink,643,,LWC Drinks,75CL,Sheet1
Pinot Noir,CRAMELE RECAS PINOT NOIR 12.5%,drink,643,46183139,LWC Drinks,75CL,Sheet1
Pinot Noir,CRAMELE RECAS PINOT NOIR 75CL,drink,643,46183139,LWC Drinks,,Sheet1
Pinot Noir,CRAMELE RECAS PINOT NOIR 75CL 12.5%,drink,643,46183139,LWC Drinks,75CL,Sheet1
Hand-Cooked Crisps,CRINKLE CRISPS,ingredient,645,78936,Aldi,,Sheet1
Hand-Cooked Crisps,CRISPS HAND COOKED,ingredient,645,82021,Aldi,,Sheet1
Cucumber,CUCUMBER WHOLE,ingredient,648,,Sainsburys,,Sheet1
Cucumber,CUCUMBER WHOLE,ingredient,648,JS,Sainsburys,,Sheet1
Cucumber,CUCUMBER WHOLE,ingredient,648,,Tesco,Each,Sheet1
Camembert,Camembert,ingredient,655,C 117804,Brakes,6 x 240g,Sheet1
Camembert,Camembert,ingredient,655,C117804,Brakes,6 x 240g,Sheet1
Camembert,Camembert,ingredient,655,29098521,M&S,250,Sheet1
Camembert,Camembert,ingredient,655,117804,Brakes,6x240g,Sheet1
Campari,Campari,drink,656,532119,Booker,6 70cl,Sheet1
Campari,Campari,drink,656,951327,Booker,1 70cl,Sheet1
Captain Morgan Spiced Gold,Capt Morgan Spcd Gold PM1759,drink,658,306996,Booker,1 70cl,Sheet1
Biodegradable Bin Liners,"60 x 50 Litre Bin Lines, 13Gallon/50L large Garbage Bags Big Food Waste Bags for Kitchen Office Bathroom ASIN:B0CBK5C2KL",cleaning,667,B0CBK5C2KL,Amazon,,Sheet1
Biodegradable Bin Liners,"100% Biodegradable Bin Liners, 60L Biodegradable Food Waste Bags, Super Sturdy Bin Bags",cleaning,667,RTBQJ-AT,Amazon,120 Bags,Sheet1
Biodegradable Bin Liners,"80 x 30 Litre Bin Bags, 8Gallon/30L Food Waste Bags 4 Roll Caddy Bin Liners for Kitchen Office Bathroom (60x65cm)",cleaning,667,B0CBK8GWQQ,Amazon,,Sheet1
Prepped Food Labels,49x74mm Prepped Food Labels - Red Text Removable - Use by Food Labels - Food Rotation Roll - Supplied in Rolls of 500. Label Size: 49 x 75mm (1 Roll of 500 Labels),packaging,678,,Amazon,,Sheet1
Prepped Food Labels,49x74mm Prepped Food Labels - Red Text Removable - Use by Food Labels - Food Rotation Roll - Supplied in Rolls of 500. Label Size: 49 x 75mm (1 Roll of 500 Labels),packaging,678,B0954WTR8M,Amazon,1 Roll of 500 Labels,Sheet1
Sauce Pots with Lids (4oz),"50 Packs Round Container, Sauces Cups Stackable Food Small Containers with Lids, Clear Round Leakproof Plastic Takeaway Sauce Pots for Small Dips Chutney Ketchup Salads",packaging,684,B0F2SPY1GK,Amazon,4oz-100 ml,Sheet1
