sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
ANTI-HAND-WASH,Brakes,A 146274,0.10,1.5,3 x 500ml,yes,,Baylis & Harding Jasmine & Apple Blossom Anti-Bacterial Hand Wash
ANTI-HAND-WASH,Brakes,A133732,0.10,5,1 x 5ltr,yes,,Baylis & Harding Jasmine & Apple Blossom
ANTI-HAND-WASH,Brakes,A146274,0.10,1.5,3 x 500ml,yes,,Baylis & Harding Jasmine & Apple Blossom Anti-Bacterial Hand Wash
ANTI-HAND-WASH,Sysco,A136380,10.07,10,2 x 5ltr,,,Brakes Essentials Antibacterial Hand Wash
ANTI-SPNG-SCOU,Booker,162494,4.99,,5pk,,,CP Antibac Sponge Scourer
APPL-CIDR-VINE,Amazon,NOSKU,0.10,,1 X 473MI,yes,yes,Bragg | Apple Cider Vinegar W/Mother
ARIE-LAUN-POWD,Brakes,149492,21.27,6.5,1x6.5kg,,,Ariel Prof Formula Pro Plus Pwdr
ARIE-LAUN-POWD,Brakes,A 149492,0.10,6.5,1X6.5KG,yes,,Ariel Prof Formula Pro Plus Pwdr
ARIE-LAUN-POWD,Brakes,A149492,22.32,6.5,1 x 6.5kg,,,Ariel Professional Formula Pro Plus Powder
ARIE-WASH-PODS,Brakes,A151251,48.56,,2 x 50,,,Ariel Professional All in 1 Washing Detergent Pods
BABY-PLUM-TOMA,Aldi,852170,1.35,,,,,BABY PLUM TOMATOES
BABY-PLUM-TOMA,Brakes,150628,1.04,0.25,1x250g,,,Baby Plum Tomatoes BB
BACA-CART-BLAN,Booker,190607,83.29,,6 70cl,,,Bacardi Carta Blanca
BACA-CART-BLAN,Booker,190608,13.79,,1 70cl,,,Bacardi Carta Blanca
BACA-CART-BLAN,Booker,190616,113.89,,6 1ltr,,,Bacardi Carta Blanca
BACA-CART-BLAN,Booker,190617,18.99,,1 1ltr,,,Bacardi Carta Blanca
BACA-CART-BLAN,Booker,191244,33.49,,1.5ltr,,,Bacardi Carta Blanca
BACA-CART-BLAN,Brakes,130921,18.69,,1x70cl,,,Bacardi CartaBlan Whte Rum
BACA-CART-BLAN,Brakes,A130921,0.10,,1 x 70cl,yes,,Bacardi Carta Blanca Rum 37.5% (Cuba)
BACA-CART-BLAN,LWC Drinks,33010047,17.90,,70cl,,,BACARDI RUM
BACA-CART-BLAN,LWC Drinks,NOSKU,17.90,,70CL,,yes,BACARDI RUM
BACA-CART-BLAN,Makro,292034,63.99,,6 70cl,,,Bacardi Carta Blanca PM1799
BACA-CART-BLAN,Makro,292035,12.69,,1 70cl,,,Bacardi Carta Blanca PM1799
BACA-CART-BLAN,Tesco,NOSKU,21.25,,70cl,,yes,Bacardi Carta Blanca
BACA-CART-ORO,Booker,0,20.99,,,,,Bacardi Carta Oro
BACA-CART-ORO,Booker,190602,127.67,,6 70cl,,,Bacardi Carta Oro
BACA-CART-ORO,Booker,190604,21.29,,1 70cl,,,Bacardi Carta Oro
BACA-CART-ORO,LWC Drinks,33013147,18.93,0.7,70CL,,,BACARDI GOLD ORO
BAIL-IRSH-CREM,Booker,772434,72.89,,6 70cl,,,Baileys Irish Cream
BAIL-IRSH-CREM,LWC Drinks,36040047,12.21,,,,,BAILEYS IRISH CREAM 70CL
BAIL-IRSH-CREM,Makro,772426,11.49,,1 70cl,,,Baileys Irish Cream
BAKE-AGAV-SYRP,LWC Drinks,50121110,7.43,0.36,360ML,,,AQUARIVA ORGAN AGAVE SYRUP
BAKE-ALMD-FLAV,Brakes,86876,5.03,0.5,1x500ml,,,Almond Flavouring
BAKE-BISC-CRUM,Amazon,B013TAVSA8,7.95,0.75,750g,,,Biscoff - Caramelised Biscuit Crumble - Ingredients from natural origin - Vegan - No colours or added flavours
BAKE-CAKE-DOWL,Amazon,B0938KPKBF,2.49,,250 MM(10INCH),,,"150 Pieces Natural Wooden Skewers for BBQ, Appetizer, Cocktail, Kabob, Fruit and Chocolate Fountain"
BAKE-CAKE-DOWL,Amazon,B09C195JJ4,7.07,,,,,24 PCS White Cake Dowel Rods Easy Cut Reused Cake Stand Sticks Cake Support Dowels Reused Cake Support Rods Cake Dowel Straws Cake Stacking Dowels Cake Rods For Cake Stacking
BAKE-CAKE-DOWL,Amazon,B0BFLCPHSP,13.23,,,,,"100PCS Cake Supports, 30cm/12inch Plastic Cake Dowels for Tiered Cakes, White Cake Supports, Easy Cut Cake Dowels For Cake Making and Stacking Support"
BAKE-CAKE-DOWL,Amazon,B0C7Q18TVG,5.41,,,,,"200 Pcs Square Wooden Sticks Dowels, 300 * 3 mm Unfinished Natural Wooden Sticks, Candy Floss Cotton Candy Food Grade Wood Sticks, Rods Hardwood Sticks for Crafts and DIY (Round)"
BAKE-CAKE-DOWL,Amazon,B0D6RLTKS8,6.66,,50 Pcs,,,ASelected Cake Dowels 50 Pcs Cake Support Rods 9.45 In(24 Cm) Plastic White Cake Dowel Rods For Tiered Cake Construction And Stacking Supporting (1.2 Cm Diameter)
BAKE-CAKE-DOWL,Amazon,B0GF7KQJJM,4.16,,,,,100Pcs Premium Wooden Dowel Rods 3mm x 300mm Unfinished Craft Sticks for DIY Model Making Cake Tier Support Home Decor & Handcraft Projects
BAKE-CAKE-DOWL,Amazon,SZCXDKJ,0.10,,50 Pack,yes,,50 Pack Unfinished Natural Wood Dowel Rods Hardwood Sticks for Crafts and DIY (250mm x 5mm)
BAKE-CARA-COOK,Morrisons,NOSKU,2.00,,,,yes,CARAMEL COOKIES
BAKE-CAST-SUGR,Brakes,11127,72.18,2,2kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,135575,6.49,3,1x3kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,23178,26.33,25,1x25kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,301,25.96,25,1x25kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,33568,35.99,2,2kg,,,Brakes Caster Sugar
BAKE-CAST-SUGR,Brakes,5007095,35.99,1,1kg,,,Brakes Caster Sugar
